Date,Time,Activity,White Light,Sleep/Wake
2/20/2019,12:32:00 PM,91,318.16,1
2/20/2019,12:32:30 PM,125,285.38,1
2/20/2019,12:33:00 PM,154,312.05,1
2/20/2019,12:33:30 PM,424,294.61,1
2/20/2019,12:34:00 PM,385,285.06,1
2/20/2019,12:34:30 PM,253,205.58,1
2/20/2019,12:35:00 PM,229,278.37,1
2/20/2019,12:35:30 PM,176,260.41,1
2/20/2019,12:36:00 PM,149,215.15,1
2/20/2019,12:36:30 PM,182,329.66,1
2/20/2019,12:37:00 PM,40,343.23,1
2/20/2019,12:37:30 PM,194,304.41,1
2/20/2019,12:38:00 PM,261,267.05,1
2/20/2019,12:38:30 PM,194,310.92,1
2/20/2019,12:39:00 PM,298,1159.18,1
2/20/2019,12:39:30 PM,270,787.35,1
2/20/2019,12:40:00 PM,139,1101.16,1
2/20/2019,12:40:30 PM,188,409.98,1
2/20/2019,12:41:00 PM,70,661.22,1
2/20/2019,12:41:30 PM,113,425.7,1
2/20/2019,12:42:00 PM,208,353.3,1
2/20/2019,12:42:30 PM,215,369.84,1
2/20/2019,12:43:00 PM,261,622.63,1
2/20/2019,12:43:30 PM,121,454.23,1
2/20/2019,12:44:00 PM,170,707.72,1
2/20/2019,12:44:30 PM,261,763.59,1
2/20/2019,12:45:00 PM,237,1330.25,1
2/20/2019,12:45:30 PM,164,1536.4,1
2/20/2019,12:46:00 PM,279,82.53,1
2/20/2019,12:46:30 PM,222,368.37,1
2/20/2019,12:47:00 PM,62,16,1
2/20/2019,12:47:30 PM,31,12.32,1
2/20/2019,12:48:00 PM,279,0,1
2/20/2019,12:48:30 PM,194,0,1
2/20/2019,12:49:00 PM,79,1.23,1
2/20/2019,12:49:30 PM,24,0,1
2/20/2019,12:50:00 PM,0,0,1
2/20/2019,12:50:30 PM,3,0,0
2/20/2019,12:51:00 PM,28,0,1
2/20/2019,12:51:30 PM,32,3906.84,1
2/20/2019,12:52:00 PM,113,0,1
2/20/2019,12:52:30 PM,34,68.5,1
2/20/2019,12:53:00 PM,91,26.02,1
2/20/2019,12:53:30 PM,0,580.12,1
2/20/2019,12:54:00 PM,0,608.94,0
2/20/2019,12:54:30 PM,42,313.94,1
2/20/2019,12:55:00 PM,9,371.41,1
2/20/2019,12:55:30 PM,38,459.82,1
2/20/2019,12:56:00 PM,0,1468.41,1
2/20/2019,12:56:30 PM,46,1417.88,1
2/20/2019,12:57:00 PM,373,0,1
2/20/2019,12:57:30 PM,222,573.44,1
2/20/2019,12:58:00 PM,245,1927.39,1
2/20/2019,12:58:30 PM,373,6132.02,1
2/20/2019,12:59:00 PM,438,2221.14,1
2/20/2019,12:59:30 PM,222,207.98,1
2/20/2019,1:00:00 PM,176,447.11,1
2/20/2019,1:00:30 PM,176,403.44,1
2/20/2019,1:01:00 PM,134,251.9,1
2/20/2019,1:01:30 PM,154,280.88,1
2/20/2019,1:02:00 PM,229,341.3,1
2/20/2019,1:02:30 PM,229,360.3,1
2/20/2019,1:03:00 PM,245,1193.78,1
2/20/2019,1:03:30 PM,438,508.2,1
2/20/2019,1:04:00 PM,279,313.12,1
2/20/2019,1:04:30 PM,350,274.91,1
2/20/2019,1:05:00 PM,222,251.03,1
2/20/2019,1:05:30 PM,88,349.57,1
2/20/2019,1:06:00 PM,245,515.52,1
2/20/2019,1:06:30 PM,253,301.61,1
2/20/2019,1:07:00 PM,229,303.86,1
2/20/2019,1:07:30 PM,208,562.13,1
2/20/2019,1:08:00 PM,201,852,1
2/20/2019,1:08:30 PM,201,997.11,1
2/20/2019,1:09:00 PM,176,612.26,1
2/20/2019,1:09:30 PM,149,1311.08,1
2/20/2019,1:10:00 PM,164,1265.86,1
2/20/2019,1:10:30 PM,15,3176.24,1
2/20/2019,1:11:00 PM,139,2293.42,1
2/20/2019,1:11:30 PM,182,1425.33,1
2/20/2019,1:12:00 PM,149,986.76,1
2/20/2019,1:12:30 PM,194,1248.9,1
2/20/2019,1:13:00 PM,170,733.95,1
2/20/2019,1:13:30 PM,109,1128.84,1
2/20/2019,1:14:00 PM,76,1213.61,1
2/20/2019,1:14:30 PM,308,2118.98,1
2/20/2019,1:15:00 PM,411,2233.7,1
2/20/2019,1:15:30 PM,350,2665.66,1
2/20/2019,1:16:00 PM,38,578.5,1
2/20/2019,1:16:30 PM,159,282.15,1
2/20/2019,1:17:00 PM,201,528.64,1
2/20/2019,1:17:30 PM,176,653.62,1
2/20/2019,1:18:00 PM,215,1965.27,1
2/20/2019,1:18:30 PM,201,740.31,1
2/20/2019,1:19:00 PM,159,695.31,1
2/20/2019,1:19:30 PM,270,442.32,1
2/20/2019,1:20:00 PM,245,1470.9,1
2/20/2019,1:20:30 PM,215,869.82,1
2/20/2019,1:21:00 PM,201,1389.28,1
2/20/2019,1:21:30 PM,82,2318.69,1
2/20/2019,1:22:00 PM,182,25.13,1
2/20/2019,1:22:30 PM,245,14.3,1
2/20/2019,1:23:00 PM,76,7.19,1
2/20/2019,1:23:30 PM,117,1.73,1
2/20/2019,1:24:00 PM,60,0,1
2/20/2019,1:24:30 PM,237,1.84,1
2/20/2019,1:25:00 PM,176,3.9,1
2/20/2019,1:25:30 PM,438,6.74,1
2/20/2019,1:26:00 PM,385,4.81,1
2/20/2019,1:26:30 PM,298,3.74,1
2/20/2019,1:27:00 PM,424,15.92,1
2/20/2019,1:27:30 PM,298,12.76,1
2/20/2019,1:28:00 PM,188,3.7,1
2/20/2019,1:28:30 PM,117,4.16,1
2/20/2019,1:29:00 PM,18,1.53,1
2/20/2019,1:29:30 PM,0,1.53,1
2/20/2019,1:30:00 PM,0,1.3,0
2/20/2019,1:30:30 PM,0,1.3,0
2/20/2019,1:31:00 PM,0,1.3,0
2/20/2019,1:31:30 PM,8,1.53,0
2/20/2019,1:32:00 PM,0,1.53,0
2/20/2019,1:32:30 PM,0,1.53,0
2/20/2019,1:33:00 PM,0,1.53,0
2/20/2019,1:33:30 PM,0,1.53,0
2/20/2019,1:34:00 PM,0,2.32,0
2/20/2019,1:34:30 PM,0,1.53,0
2/20/2019,1:35:00 PM,0,1.53,0
2/20/2019,1:35:30 PM,0,1.81,0
2/20/2019,1:36:00 PM,79,3.61,1
2/20/2019,1:36:30 PM,42,8.29,1
2/20/2019,1:37:00 PM,125,7.37,1
2/20/2019,1:37:30 PM,129,8.06,1
2/20/2019,1:38:00 PM,188,6.71,1
2/20/2019,1:38:30 PM,201,10.51,1
2/20/2019,1:39:00 PM,170,11.98,1
2/20/2019,1:39:30 PM,117,13.59,1
2/20/2019,1:40:00 PM,85,7.44,1
2/20/2019,1:40:30 PM,4,5.88,1
2/20/2019,1:41:00 PM,2,5.64,1
2/20/2019,1:41:30 PM,0,5.91,1
2/20/2019,1:42:00 PM,91,9.34,1
2/20/2019,1:42:30 PM,11,7.87,1
2/20/2019,1:43:00 PM,154,12.56,1
2/20/2019,1:43:30 PM,125,6.83,1
2/20/2019,1:44:00 PM,125,18.94,1
2/20/2019,1:44:30 PM,94,9.44,1
2/20/2019,1:45:00 PM,60,10.18,1
2/20/2019,1:45:30 PM,6,7.38,1
2/20/2019,1:46:00 PM,7,8.91,1
2/20/2019,1:46:30 PM,54,8.94,1
2/20/2019,1:47:00 PM,91,11.38,1
2/20/2019,1:47:30 PM,97,4.72,1
2/20/2019,1:48:00 PM,154,6,1
2/20/2019,1:48:30 PM,91,3.47,1
2/20/2019,1:49:00 PM,8,3.26,1
2/20/2019,1:49:30 PM,8,3.49,1
2/20/2019,1:50:00 PM,5,3.25,1
2/20/2019,1:50:30 PM,4,3.26,1
2/20/2019,1:51:00 PM,97,3.25,1
2/20/2019,1:51:30 PM,188,6.69,1
2/20/2019,1:52:00 PM,109,21,1
2/20/2019,1:52:30 PM,113,17.76,1
2/20/2019,1:53:00 PM,0,5.21,1
2/20/2019,1:53:30 PM,8,4.33,1
2/20/2019,1:54:00 PM,0,4.55,0
2/20/2019,1:54:30 PM,0,4.55,0
2/20/2019,1:55:00 PM,0,4.56,0
2/20/2019,1:55:30 PM,0,4.56,0
2/20/2019,1:56:00 PM,23,13.86,1
2/20/2019,1:56:30 PM,19,6.8,1
2/20/2019,1:57:00 PM,0,5.64,0
2/20/2019,1:57:30 PM,0,5.63,0
2/20/2019,1:58:00 PM,0,5.88,0
2/20/2019,1:58:30 PM,0,5.85,0
2/20/2019,1:59:00 PM,0,6.29,0
2/20/2019,1:59:30 PM,0,6.07,0
2/20/2019,2:00:00 PM,0,6.09,0
2/20/2019,2:00:30 PM,16,3.9,0
2/20/2019,2:01:00 PM,0,2.81,0
2/20/2019,2:01:30 PM,0,4.99,0
2/20/2019,2:02:00 PM,0,5.41,0
2/20/2019,2:02:30 PM,0,5.2,0
2/20/2019,2:03:00 PM,0,5.42,0
2/20/2019,2:03:30 PM,0,5.88,0
2/20/2019,2:04:00 PM,0,5.64,0
2/20/2019,2:04:30 PM,0,5.63,0
2/20/2019,2:05:00 PM,2,5.64,0
2/20/2019,2:05:30 PM,0,5.2,0
2/20/2019,2:06:00 PM,0,5.42,0
2/20/2019,2:06:30 PM,0,4.98,0
2/20/2019,2:07:00 PM,0,4.98,0
2/20/2019,2:07:30 PM,0,4.98,0
2/20/2019,2:08:00 PM,0,4.77,0
2/20/2019,2:08:30 PM,2,4.11,0
2/20/2019,2:09:00 PM,0,3.91,0
2/20/2019,2:09:30 PM,34,6.34,1
2/20/2019,2:10:00 PM,0,5.2,0
2/20/2019,2:10:30 PM,0,5.41,0
2/20/2019,2:11:00 PM,0,5.41,0
2/20/2019,2:11:30 PM,0,5.64,1
2/20/2019,2:12:00 PM,121,8.74,1
2/20/2019,2:12:30 PM,94,29.29,1
2/20/2019,2:13:00 PM,62,4.72,1
2/20/2019,2:13:30 PM,194,10.66,1
2/20/2019,2:14:00 PM,279,4.64,1
2/20/2019,2:14:30 PM,318,1.61,1
2/20/2019,2:15:00 PM,144,8.64,1
2/20/2019,2:15:30 PM,350,3.68,1
2/20/2019,2:16:00 PM,531,6.91,1
2/20/2019,2:16:30 PM,318,6.93,1
2/20/2019,2:17:00 PM,298,0.36,1
2/20/2019,2:17:30 PM,0,0.15,1
2/20/2019,2:18:00 PM,101,16.23,1
2/20/2019,2:18:30 PM,125,8.33,1
2/20/2019,2:19:00 PM,201,11.66,1
2/20/2019,2:19:30 PM,208,1068.12,1
2/20/2019,2:20:00 PM,308,1157.2,1
2/20/2019,2:20:30 PM,411,286.77,1
2/20/2019,2:21:00 PM,154,885.43,1
2/20/2019,2:21:30 PM,361,365.19,1
2/20/2019,2:22:00 PM,48,1149.77,1
2/20/2019,2:22:30 PM,139,1262.15,1
2/20/2019,2:23:00 PM,109,1342.26,1
2/20/2019,2:23:30 PM,176,1254.09,1
2/20/2019,2:24:00 PM,121,1339.86,1
2/20/2019,2:24:30 PM,56,1240.99,1
2/20/2019,2:25:00 PM,134,1476.28,1
2/20/2019,2:25:30 PM,91,1344.15,1
2/20/2019,2:26:00 PM,328,1175.89,1
2/20/2019,2:26:30 PM,144,1163.95,1
2/20/2019,2:27:00 PM,76,1679.04,1
2/20/2019,2:27:30 PM,105,449.58,1
2/20/2019,2:28:00 PM,15,26.56,1
2/20/2019,2:28:30 PM,31,25.11,1
2/20/2019,2:29:00 PM,64,12.9,1
2/20/2019,2:29:30 PM,46,34.53,1
2/20/2019,2:30:00 PM,149,1675.37,1
2/20/2019,2:30:30 PM,52,2250.29,1
2/20/2019,2:31:00 PM,29,2279.31,1
